index,time_s,linear_velocity_mps,angular_velocity_radps
1,0.019,-0.0000,-0.0000
2,0.046,-0.0000,-0.0000
3,0.069,0.0068,0.4269
4,0.097,0.0285,0.5074
5,0.120,0.0485,0.4913
6,0.150,0.0685,0.4758
7,0.190,0.0885,0.4609
8,0.220,0.1085,0.4466
9,0.245,0.1285,0.4328
10,0.267,0.1485,0.4196
11,0.293,0.1685,0.4069
12,0.318,0.1885,0.3946
13,0.344,0.2085,0.3829
14,0.371,0.2285,0.3715
15,0.397,0.2413,0.3607
16,0.421,0.2419,0.3502
17,0.446,0.2424,0.3400
18,0.471,0.2429,0.3301
19,0.497,0.2434,0.3206
20,0.518,0.2439,0.3113
21,0.543,0.2444,0.3023
22,0.567,0.2448,0.2935
23,0.594,0.2453,0.2850
24,0.621,0.2457,0.2768
25,0.653,0.2461,0.2688
26,0.678,0.2465,0.2610
27,0.711,0.2469,0.2535
28,0.738,0.2470,0.2459
29,0.761,0.2473,0.2388
30,0.787,0.2477,0.2319
31,0.808,0.2480,0.2253
32,0.835,0.2484,0.2188
33,0.860,0.2216,0.1893
34,0.885,0.2218,0.1843
35,0.911,0.2221,0.1796
36,0.935,0.2223,0.1750
37,0.962,0.2225,0.1705
38,0.986,0.2243,0.1673
39,1.011,0.2245,0.1630
40,1.039,0.2247,0.1588
41,1.062,0.2249,0.1547
42,1.089,0.2251,0.1508
43,1.117,0.2037,0.1328
44,1.148,0.2038,0.1296
45,1.179,0.2040,0.1266
46,1.205,0.2041,0.1236
47,1.239,0.2043,0.1208
48,1.272,0.2025,0.2961
49,1.295,0.2028,0.2907
50,1.322,0.2032,0.2835
51,1.346,0.2036,0.2765
52,1.372,0.2039,0.2697
53,1.395,0.1897,0.5316
54,1.421,0.1895,0.5269
55,1.446,0.1902,0.5146
56,1.469,0.1908,0.5025
57,1.495,0.1914,0.4906
58,1.520,0.1778,0.7091
59,1.543,0.1773,0.7046
60,1.566,0.1770,0.6892
61,1.590,0.1762,0.6740
62,1.615,0.1754,0.6592
63,1.642,0.1770,0.7687
64,1.665,0.1764,0.7542
65,1.691,0.1755,0.7375
66,1.715,0.1746,0.7212
67,1.740,0.1738,0.7051
68,1.767,0.1719,0.8285
69,1.791,0.1710,0.8125
70,1.817,0.1701,0.7957
71,1.841,0.1691,0.7792
72,1.867,0.1682,0.7630
73,1.893,0.1758,0.9017
